,2018-05-13,2018-05-06,2018-04-29,2018-04-22,2018-04-15,2018-04-08,2018-04-01,2018-03-25,2018-03-18,2018-03-11,2018-03-04,2018-02-25,2018-02-18,2018-02-11,2018-02-04,2018-01-28,2018-01-21,2018-01-14,2018-01-07,2017-12-31,2017-12-24,2017-12-17,2017-12-10,2017-12-03,2017-11-26,2017-11-19
oscillons,9.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,11.0,11.0,11.0,13.0,13.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,14.0,14.0,14.0,11.0,8.0,8.0
continuousspin,4.0,4.0,4.0,4.0,7.0,7.0,7.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0
cartan,17.0,16.0,19.0,19.0,19.0,19.0,18.0,18.0,17.0,18.0,19.0,18.0,18.0,16.0,13.0,13.0,12.0,13.0,13.0,11.0,11.0,10.0,10.0,9.0,8.0,8.0
poincar,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,7.0,7.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0
heavier,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,8.0
quantisation,13.0,13.0,14.0,11.0,10.0,10.0,9.0,10.0,12.0,12.0,11.0,11.0,11.0,9.0,10.0,10.0,13.0,13.0,13.0,13.0,11.0,11.0,9.0,9.0,8.0,8.0
confinementdeconfinement,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0,9.0,8.0,8.0
hodge,11.0,12.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,13.0,14.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,14.0,14.0,11.0,8.0,8.0,8.0
quantised,6.0,8.0,8.0,8.0,9.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,11.0,11.0,8.0,8.0,8.0
stresstensor,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0
friedmannrobertsonwalker,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,7.0,10.0,9.0,9.0,8.0,8.0,8.0
weierstrass,6.0,5.0,6.0,6.0,6.0,7.0,7.0,8.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0
maldacena,9.0,13.0,13.0,12.0,12.0,12.0,12.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0
glauber,4.0,4.0,4.0,4.0,5.0,5.0,5.0,11.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0
rewritten,9.0,11.0,11.0,13.0,13.0,13.0,12.0,11.0,11.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0
